,Param,Variable
410,0.0,DL OD*FP OD
411,0.0,DL*FP
412,0.0,DL OD*FP
413,0.0,DL*FP OD
414,0.0,DL OD*AC OD
415,-0.0,DL*AC
416,0.0,DL OD*AC
417,-0.0,DL*AC OD
418,-0.0,DL OD*ER OD
419,-0.4865179988694124,DL*ER
420,-0.0,DL OD*ER
421,-0.0,DL*ER OD
422,-0.0,DL OD*RI OD
423,0.0,DL*RI
424,0.0,DL OD*RI
425,-0.0,DL*RI OD
426,-0.0,DL OD*CC OD
427,-0.0,DL*CC
428,0.0,DL OD*CC
429,-0.0,DL*CC OD
430,0.0,DF OD*FP OD
431,-0.0,DF*FP
432,0.04814856900693028,DF OD*FP
433,0.0,DF*FP OD
434,0.0,DF OD*AC OD
435,-0.0,DF*AC
436,5.1509649369797375,DF OD*AC
437,-1.9115026087287894,DF*AC OD
438,0.0,DF OD*ER OD
439,-3.179655492111914,DF*ER
440,0.0,DF OD*ER
441,0.0,DF*ER OD
442,0.0,DF OD*RI OD
443,0.0,DF*RI
444,6.302887390838292,DF OD*RI
445,0.0,DF*RI OD
446,-0.0,DF OD*CC OD
447,-0.0,DF*CC
448,0.0,DF OD*CC
449,-0.0,DF*CC OD
